id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,color,size,age_group,material,pattern,shipping,shipping_weight,gtin,video[0].url,video[0].tag[0],style[0]
200021,Raspberry Jam Small,Raspberry Jam Small from Honey & Jams category,in stock,new,9.00 AED,https://yourwebsite.com/menu/200021,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200021,,,
200100,RED ROSE PETALS 250GM,RED ROSE PETALS 250GM from Honey & Jams category,in stock,new,55.00 AED,https://yourwebsite.com/menu/200100,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200100,,,
200022,STRAWBERRY JAM 230G,STRAWBERRY JAM 230G from Honey & Jams category,in stock,new,45.00 AED,https://yourwebsite.com/menu/200022,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200022,,,
200023,STRAWBERRY JAM SMALL,STRAWBERRY JAM SMALL from Honey & Jams category,in stock,new,9.00 AED,https://yourwebsite.com/menu/200023,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200023,,,
500805,Coca-cola,Coca-cola from Water & Soda category,in stock,new,25.00 AED,https://yourwebsite.com/menu/500805,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,500805,,,
500806,Coca-cola light,Coca-cola light from Water & Soda category,in stock,new,25.00 AED,https://yourwebsite.com/menu/500806,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,500806,,,
500817,Eira Large Sparkling,Eira Large Sparkling from Water & Soda category,in stock,new,29.00 AED,https://yourwebsite.com/menu/500817,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,500817,,,
500815,Eira Large Still,Eira Large Still from Water & Soda category,in stock,new,29.00 AED,https://yourwebsite.com/menu/500815,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,500815,,,
102210,Eira pet,Eira pet from Water & Soda category,in stock,new,10.00 AED,https://yourwebsite.com/menu/102210,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,102210,,,
500816,Eira Small Sparkling,Eira Small Sparkling from Water & Soda category,in stock,new,19.00 AED,https://yourwebsite.com/menu/500816,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,500816,,,
500814,Eira Small Still,Eira Small Still from Water & Soda category,in stock,new,19.00 AED,https://yourwebsite.com/menu/500814,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,500814,,,
